Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Energy Consumption
Commercial,20243.485297594125,89,31,33.73,Weekend,4561.278879317654
Commercial,0.0,47,43,21.1,Weekend,3865.7599016924437
Industrial,4647.157337016544,69,41,12.68,Weekday,3649.949049559288
Commercial,49135.77864189909,34,17,16.6,Weekday,4802.240226729298
Residential,29798.239783922876,82,28,13.04,Weekday,4345.164660092898
Commercial,35867.80792048346,24,16,17.95,Weekday,4438.433023615023
Commercial,21843.61245515905,98,40,25.77,Weekday,5338.868314977901
Industrial,19162.298332270944,93,30,20.4,Weekday,5191.868475188987
Industrial,33191.12150880123,87,42,30.03,Weekday,6225.681849938158
Residential,44478.84097750134,75,24,10.17,Weekday,4686.3559632269325
Commercial,47577.98641082284,19,43,15.6,Weekday,5785.281528777908
Commercial,46372.54236948755,48,20,14.3,Weekend,5097.898031914496
Industrial,17554.494400061187,46,29,28.51,Weekday,4405.366481455056
Commercial,32018.956561727853,92,49,27.39,Weekend,5468.401223792117
Residential,41360.16675361358,1,16,10.14,Weekend,3817.434482381847
Residential,0.0,90,49,11.14,Weekend,3588.519978884628
Commercial,588.7668909265194,22,34,25.98,Weekend,3850.8343782016555
Commercial,21654.36810392069,60,9,28.7,Weekend,3698.237955386957
Commercial,43852.34031884028,15,28,15.33,Weekend,5316.983851715615
Industrial,44488.858570084914,47,1,17.61,Weekend,4420.0106723305935
Residential,20160.716307058083,44,18,18.87,Weekday,3172.6455774987217
Commercial,51884.42720072318,49,12,30.18,Weekend,5493.132500676174
Commercial,12621.401972486496,49,12,25.27,Weekday,4118.316757305286
Residential,8107.394146133983,9,22,12.1,Weekday,2423.0596869065866
Industrial,21784.515485451466,75,10,13.13,Weekend,5119.169198722548
Industrial,19316.52806641315,69,25,29.33,Weekday,5023.132315405863
Residential,32832.048386143724,35,43,16.24,Weekend,3693.6255640220597
Industrial,26043.63102154176,66,19,23.56,Weekday,4217.203193767612
Residential,37447.80580643621,39,45,26.93,Weekend,5087.284350619816
Residential,3959.2717878688154,45,12,34.26,Weekday,1983.90987708166
Residential,24952.369806908788,95,9,24.24,Weekend,3629.0264772961746
Commercial,0.0,70,8,34.79,Weekend,2579.814219527075
Commercial,430.7998752127942,1,28,30.59,Weekend,2576.9843998712627
Residential,33835.11748203971,52,32,13.34,Weekday,3952.683729500627
Residential,22698.600167124747,15,36,14.78,Weekday,4131.03699134258
Residential,48955.84941588499,36,46,31.53,Weekend,4962.289833468482
Industrial,13585.909137441602,95,45,23.87,Weekend,5359.7929428257885
Commercial,48344.43658388795,23,12,14.2,Weekend,4109.304295823276
Residential,55371.28104534988,51,22,24.03,Weekday,4696.350101430924
Commercial,3087.804606868278,45,26,20.98,Weekend,3462.8085535365058
Industrial,9353.953068732091,76,41,29.41,Weekday,4829.077546286831
Commercial,16516.775969987564,43,4,28.28,Weekday,3186.444332134727
Residential,2576.537997561083,45,28,28.96,Weekday,3511.6362461203817
Commercial,941.1787971104659,16,9,30.84,Weekend,3063.2237267340442
Industrial,28206.498578067003,59,3,12.89,Weekend,3295.372633486694
Residential,31844.702456095707,85,7,17.39,Weekend,3593.0778613908947
Commercial,25484.049379948534,58,19,26.56,Weekday,3311.3336182586677
Commercial,7583.216589795975,11,4,22.11,Weekday,3347.5381959993742
Industrial,0.0,11,8,23.83,Weekend,2631.125876926746
Commercial,24771.237956154833,89,23,15.01,Weekday,5390.867384102654
Residential,34141.144739175215,25,30,27.82,Weekend,3196.716114991506
Commercial,24509.280222803758,53,29,11.12,Weekday,3773.4856208063775
Residential,542.219021116673,44,9,21.22,Weekday,1988.3323591360227
Residential,15343.894487904774,21,29,24.97,Weekend,3062.808202715226
Commercial,21773.685923810397,9,18,19.56,Weekday,2320.954975154793
Residential,27448.04777400586,32,2,15.25,Weekend,2903.8696196150427
Residential,12692.668510744143,38,9,22.75,Weekday,2391.5140042569965
Commercial,46415.029526435996,12,46,22.81,Weekday,5746.807672108655
Commercial,40690.63638278861,19,33,11.34,Weekend,5419.892159247565
Industrial,43613.45974932476,90,34,27.26,Weekend,6483.595870794872
Industrial,40353.35186417334,8,38,18.84,Weekend,5069.614781956796
Commercial,47017.83576420333,81,5,24.47,Weekday,5267.541241718945
Industrial,6780.807777645019,74,8,27.33,Weekday,3817.5816433316973
Industrial,35904.218323011395,57,18,29.65,Weekday,4778.652541741818
Commercial,12741.712646170983,36,17,20.37,Weekend,3537.0348845619715
Residential,21913.300111757322,89,48,30.51,Weekday,3392.2159398000485
Residential,47143.28111984704,91,40,27.6,Weekday,4685.05227528803
Commercial,39750.65986623093,57,47,28.74,Weekend,5803.483051897086
Commercial,12855.468572467493,20,42,25.28,Weekend,4765.885261724593
Commercial,9388.387579192804,97,46,15.79,Weekday,4889.940370789359
Commercial,11386.281125716245,25,8,26.63,Weekend,3306.0119119804212
Residential,37720.414080810515,99,27,31.43,Weekend,4547.4459490532845
Commercial,33490.22024585926,49,19,31.45,Weekend,3945.9190427544845
Industrial,0.0,12,19,27.05,Weekday,3314.6364962093085
Residential,44209.789707701326,42,46,17.82,Weekend,5391.136323291867
Commercial,4581.5171974135155,52,39,28.23,Weekend,3425.5501389416227
Residential,18767.763700609168,29,21,29.94,Weekend,3663.2645182997
Residential,3640.6621652685853,28,22,28.11,Weekday,3069.8396666921194
Commercial,21023.464523185638,86,32,30.61,Weekday,4235.8111168204505
Residential,13057.32383118078,61,11,33.75,Weekday,2150.779214509943
Industrial,0.0,30,9,24.72,Weekday,2606.9844620888102
Industrial,20756.87021937052,23,35,19.8,Weekend,4346.507869269604
Commercial,4378.247413873419,50,5,10.33,Weekday,2287.474857574126
Residential,37473.91190967253,57,7,16.94,Weekday,3344.164525148885
Commercial,28197.591415096467,33,42,34.22,Weekend,3706.309101053178
Industrial,2466.1093183424805,46,46,13.74,Weekend,3843.6468774254263
Residential,7425.420961001566,81,48,13.6,Weekday,3151.5262988360446
Commercial,20299.860839241945,17,11,11.75,Weekday,3646.3753012598936
Residential,3082.3489371228966,98,2,15.1,Weekday,3249.9861566364966
Industrial,44512.05905056072,98,11,12.3,Weekday,6110.585140557747
Commercial,40123.23560441121,99,11,30.78,Weekend,5531.520822443606
Industrial,22053.66362215883,38,13,28.33,Weekend,4526.137070685752
Residential,5545.790337714079,61,26,30.51,Weekday,2941.0416261314185
Residential,40490.40455623423,84,15,27.44,Weekday,4203.657372698755
Industrial,57486.99746246098,24,32,24.99,Weekday,5589.699957837294
Residential,49591.90342397308,58,38,28.79,Weekday,5506.328937783375
Residential,44906.35491283432,12,10,32.88,Weekend,3382.7919164315617
Residential,21387.9285307136,82,29,20.36,Weekday,3240.078454834416
Residential,53680.615842491825,88,33,11.53,Weekday,5541.86721515976
Commercial,16039.209985710932,33,28,10.16,Weekend,2824.711491891654
Industrial,28158.685441352685,7,34,28.05,Weekday,3839.2694598394355
Industrial,40548.10889108779,74,5,31.83,Weekday,5228.104056115604
Commercial,0.0,74,38,15.66,Weekend,3454.5684190604884
Commercial,11588.627073472788,21,8,26.77,Weekday,2721.0611248732707
Residential,42702.45868879465,78,33,19.33,Weekday,5110.84494748921
Residential,51924.17875521251,77,9,17.72,Weekend,4870.319845412583
Residential,47494.907396687384,99,41,17.6,Weekday,5272.5068320792325
Commercial,46707.36546754668,76,38,32.07,Weekday,6026.941392650229
Residential,7452.758990463872,25,4,28.84,Weekend,1131.742483746096
Industrial,8443.17439821517,35,20,33.18,Weekday,4536.736828545925
Industrial,19691.453062866858,25,49,15.38,Weekend,4041.5743702987306
Commercial,21481.896364768614,23,23,30.0,Weekend,4610.747810496293
Industrial,17925.59855068613,84,45,14.96,Weekend,4660.103156773103
Residential,16402.15011319533,25,43,24.55,Weekend,3575.733418825259
Industrial,0.0,14,40,12.59,Weekend,3528.700430658249
Industrial,44870.02801119576,4,44,16.78,Weekend,5435.242702161801
Commercial,25405.682466946673,80,10,15.5,Weekday,3913.001083494218
Commercial,19472.363779167757,36,13,15.51,Weekday,3041.7915358227206
Residential,21768.32359769902,70,44,27.56,Weekday,4363.700868684999
Industrial,31607.405519015963,16,20,23.97,Weekday,4889.018715707604
Industrial,0.0,20,46,12.33,Weekday,4482.101944951824
Commercial,36610.34589299222,43,14,31.26,Weekday,4085.6222130258107
Residential,43501.001115961124,34,29,24.16,Weekday,4544.360194541212
Residential,24469.841846582392,14,1,12.8,Weekend,3667.152143704392
Residential,35800.21999738121,42,38,25.04,Weekday,3400.7553190950066
Commercial,18848.06179180545,5,19,20.65,Weekday,2360.7964567215286
Industrial,29613.514190689697,89,6,23.69,Weekend,4832.3136778201615
Commercial,45867.93638782732,36,2,13.93,Weekend,4071.378438922539
Residential,22837.339065665863,19,25,14.33,Weekday,2344.895165116926
Residential,14606.744880989658,17,42,33.72,Weekend,3415.9243761750827
Commercial,24909.061309011246,5,34,19.77,Weekday,3547.519300888034
Commercial,36509.48895885325,18,24,12.93,Weekend,4140.948467946855
Commercial,4377.499853102384,30,2,29.63,Weekday,2401.1751508189222
Commercial,7199.495249485249,81,2,15.38,Weekend,1658.7417427298924
Residential,21841.05253113109,29,7,21.54,Weekday,2792.2392884651035
Commercial,46844.235190636115,82,26,17.62,Weekend,5365.549474808986
Residential,19961.827622222732,78,4,33.5,Weekday,3317.5167085860094
Industrial,25576.231540121546,56,41,34.55,Weekday,5892.830446195404
Industrial,29888.589642040854,68,4,24.59,Weekend,4001.7571820436738
Commercial,15343.961795631429,24,42,15.79,Weekend,4372.2553669336485
Industrial,46133.358712899164,87,22,34.18,Weekend,5253.228078769102
Commercial,26624.50821618013,44,14,11.38,Weekend,3430.966549964188
Residential,41039.7486393775,82,13,32.62,Weekend,3545.6159187799044
Residential,17646.455058983574,94,8,17.91,Weekend,2413.7069447110594
Commercial,13662.915888241436,71,17,16.99,Weekend,3933.886898091963
Industrial,36180.178501320304,47,29,33.37,Weekend,4392.472940603468
Residential,39058.57941559277,42,15,31.27,Weekend,3995.753813567502
Residential,17174.972974086697,29,33,23.73,Weekend,3726.094263981183
Industrial,17630.164966717493,10,13,20.89,Weekend,3555.8785354072265
Residential,13423.862165689308,98,36,29.52,Weekend,4655.262626536963
Industrial,35681.16974163402,47,13,25.41,Weekend,4647.824504660705
Commercial,23174.96572356376,70,20,11.89,Weekday,4873.757077439855
Commercial,14613.738220182771,65,5,34.67,Weekend,3704.2362649651586
Industrial,19605.820305464033,17,6,29.31,Weekday,3093.6934461970072
Industrial,11176.273047639273,7,32,15.67,Weekday,4362.476054249621
Residential,49318.352618118166,22,18,11.87,Weekday,3932.549613261511
Industrial,29833.53345178229,32,43,12.86,Weekday,5639.383612726652
Commercial,44553.26794220037,5,20,29.6,Weekday,4935.084770428834
Commercial,33422.75788327329,3,6,11.91,Weekend,3376.8938759967714
Commercial,28416.24695783729,26,9,10.52,Weekday,4759.968916329475
Industrial,30950.283232083268,80,8,24.3,Weekend,3790.2206093885106
Commercial,11214.006418048908,60,39,25.63,Weekend,3674.812762962244
Industrial,37763.31350094738,89,17,34.04,Weekday,5125.4584967596775
Residential,43959.67006185098,3,36,22.96,Weekday,4549.291296637332
Industrial,0.0,28,48,24.41,Weekday,3251.713229746622
Commercial,35471.26541710656,92,43,23.58,Weekend,5511.8529076599325
Commercial,20900.388652379366,6,29,21.36,Weekend,3672.7484058394143
Industrial,49473.80117324685,3,18,25.95,Weekend,4881.935716266403
Commercial,47326.02201041368,86,46,12.07,Weekday,5908.088298486799
Residential,19382.927787199147,87,36,19.67,Weekday,4129.351368040845
Commercial,48447.06693360634,60,42,18.31,Weekday,5405.60329534145
Residential,44227.53255510709,35,38,29.66,Weekend,5701.261104354938
Commercial,38179.32607640653,66,47,12.96,Weekday,5429.744226574196
Residential,35833.764898423135,34,35,19.28,Weekend,3154.574413123808
Commercial,31601.630552188875,38,15,18.72,Weekend,3634.166231089762
Residential,53708.13478058996,19,25,10.29,Weekend,3943.3153496999757
Industrial,35825.93915337748,44,38,14.79,Weekday,6009.243623472079
Industrial,27732.551788597193,86,13,13.96,Weekday,5425.15118323815
Commercial,43259.49327813086,72,47,20.95,Weekday,6034.585740096933
Commercial,0.0,21,9,29.51,Weekend,2366.223939319136
Commercial,50328.16252717779,70,7,25.71,Weekday,4978.975444186577
Residential,40330.977487521435,99,38,31.79,Weekend,5325.482319743233
Residential,38703.243127627225,85,29,11.31,Weekend,4024.1496032252285
Commercial,54555.1198585431,49,41,29.52,Weekend,5824.162423786295
Industrial,42353.89425793681,99,36,21.27,Weekend,6358.448607912162
Industrial,53596.55783857484,1,8,32.46,Weekday,5168.6128269172295
Industrial,5867.19131383453,79,49,10.39,Weekend,5247.670184993442
Industrial,56072.72335600009,47,7,25.25,Weekday,5397.267756710736
Residential,17312.415409564594,78,36,10.33,Weekend,4124.810389233596
Commercial,3742.8944445953075,85,27,15.09,Weekend,3691.1629174758823
Residential,13899.617633041198,75,27,24.06,Weekday,4510.867778212676
Residential,39551.06706160725,89,29,18.3,Weekday,4470.326780315085
Industrial,20106.386667068156,86,44,30.86,Weekend,5087.425921638882
Industrial,32616.905697881062,69,5,10.24,Weekday,4388.863745119183
Commercial,38358.92787759829,28,34,23.64,Weekend,5011.622448358816
Commercial,40167.359006012135,5,1,10.13,Weekend,3595.7793665590384
Commercial,0.0,72,18,26.98,Weekend,3396.6005050427157
Industrial,24971.39266055752,55,45,14.99,Weekday,5055.149896258764
Residential,0.0,72,23,20.14,Weekend,3136.8183248888135
Residential,0.0,32,49,12.3,Weekend,2585.240858154989
Industrial,46640.538724221406,36,28,29.67,Weekend,5304.958174588458
Residential,59480.580096837344,60,22,15.42,Weekday,5121.195164379144
Industrial,46980.11362680267,1,28,19.15,Weekday,5800.564356082036
Residential,34886.669265889315,35,4,13.99,Weekday,3663.742210046368
Residential,37168.52000235879,59,25,23.69,Weekday,4574.416459662015
Residential,11098.197839407792,18,26,34.47,Weekday,2746.033285235093
Commercial,31314.306778459526,61,41,34.63,Weekend,5091.871022272342
Residential,32129.966178112263,89,43,13.9,Weekend,4386.270618037095
Commercial,43299.90890088579,23,26,33.56,Weekend,5215.399339728262
Commercial,19052.805222863626,79,30,26.73,Weekend,3123.3317728433212
Residential,20207.32481689803,16,25,29.13,Weekend,2948.9791425077133
Residential,37628.34551023794,31,41,32.35,Weekday,4161.476822193426
Residential,28621.073271404803,13,45,26.11,Weekend,4076.1002506763207
Residential,42731.77328731438,61,1,24.54,Weekday,5074.41645435819
Commercial,50960.720692489136,71,27,28.08,Weekend,5460.60373614411
Residential,1984.7406716550304,13,4,20.76,Weekday,2222.4551217929416
Commercial,34457.02672981288,67,24,21.48,Weekend,5548.984066171758
Industrial,30643.612430760288,55,29,18.34,Weekend,4972.258980380239
Residential,45643.80376040598,64,47,14.73,Weekend,4872.774210159149
Residential,58855.70885003391,66,8,10.16,Weekday,5441.272927181511
Residential,48109.76643432048,42,49,25.31,Weekend,5208.735443387457
Commercial,17629.02185286201,61,47,33.38,Weekend,4415.312596349645
Residential,46765.50961977553,35,42,17.84,Weekday,4069.3959420061806
Commercial,20044.442424383058,48,36,19.41,Weekday,3394.685597835242
Commercial,26409.294808352643,13,19,24.92,Weekday,3571.9738154953966
Residential,26516.899397910023,77,26,24.09,Weekend,3469.208936136096
Residential,48937.80384127166,82,35,30.7,Weekend,4996.180675454556
Residential,33719.421267333106,85,27,32.39,Weekend,3994.8876244697485
Commercial,10804.480407123829,75,23,16.83,Weekend,3540.1594195175294
Industrial,43612.15252863154,85,36,17.99,Weekday,6003.193101024184
Industrial,21195.03080849523,30,25,22.66,Weekday,4293.2756284540565
Residential,20878.558859632896,5,25,26.29,Weekend,2720.402690340451
Industrial,24771.087502249487,43,21,26.86,Weekday,4467.859403761232
Industrial,22547.214625025383,13,6,29.32,Weekend,4597.485690682048
Industrial,22808.874859586747,85,19,28.85,Weekday,4281.383762835999
Residential,38155.889614950574,21,15,28.71,Weekday,3688.460688233001
Residential,35573.89519507861,74,19,24.55,Weekend,4731.704280544936
Commercial,3002.711257275908,61,49,12.65,Weekend,3838.534380948965
Commercial,4319.456083862728,15,13,11.71,Weekend,2348.16394610521
Commercial,25223.16158271906,54,6,19.05,Weekday,2917.2601623881155
Commercial,42215.00140972113,65,29,27.67,Weekday,4680.64882644906
Commercial,45280.78745897696,48,20,22.94,Weekend,5224.667669760203
Commercial,28954.334886817767,39,41,15.33,Weekend,4332.429560793641
Commercial,38085.509779015396,32,42,11.26,Weekday,3818.673641893467
Residential,16594.091120322933,72,10,33.34,Weekday,3458.9202944059766
Commercial,45214.4599342172,89,37,26.33,Weekend,6591.8728867438
Industrial,35778.062197767795,88,46,10.79,Weekend,6165.7473420596525
Residential,44656.80347656992,17,14,21.58,Weekend,3351.1796359600294
Commercial,45056.65457572455,98,43,33.1,Weekday,6091.851714416614
Industrial,11212.378497994461,16,45,19.1,Weekend,3674.4001801457352
Commercial,31762.659031810483,26,35,21.64,Weekday,5363.340029684755
Commercial,4666.9763824182355,50,46,26.35,Weekday,3864.7468193221493
Residential,34976.63919689467,19,35,28.29,Weekday,3948.3207677494406
Industrial,12458.511419916354,63,45,10.2,Weekday,4133.716437530599
Residential,14561.40821760232,62,21,18.76,Weekend,3426.271402088014
Residential,0.0,17,40,20.5,Weekday,2454.376963247558
Industrial,23944.185497193725,79,45,22.39,Weekday,5411.992439296613
Industrial,6537.616642579647,3,47,10.74,Weekend,4300.696130702127
Industrial,32056.222490223554,99,38,34.99,Weekend,5736.888969557977
Industrial,35210.56143881831,41,36,31.89,Weekday,5570.177031740144
Commercial,11684.92928189834,92,8,33.62,Weekend,4342.535284915218
Commercial,20057.3581943274,99,41,11.55,Weekend,4727.395658918364
Commercial,11908.861269222449,78,30,29.41,Weekend,3888.0282801802045
Industrial,54015.07358784602,82,6,21.1,Weekend,4971.764455486
Commercial,29526.15094868381,40,48,23.38,Weekend,4762.034418348945
Residential,30548.83294286988,70,47,10.4,Weekday,4708.502367343481
Industrial,20944.42915204775,1,13,26.45,Weekday,4192.710601709401
Residential,40910.26437665188,33,41,30.12,Weekday,4787.016893892665
Residential,7009.529915871465,3,17,21.0,Weekend,2248.0923955176527
Industrial,19860.081946806466,24,21,29.31,Weekend,4652.59215295361
Commercial,19746.5688074493,34,27,29.2,Weekend,3690.2974118861466
Residential,38403.64856275093,68,20,30.71,Weekday,4528.88624553098
Commercial,36950.8800980128,60,5,15.03,Weekend,3769.176881861907
Industrial,14381.335502402948,28,19,24.15,Weekend,4060.467756305373
Residential,46772.06571472961,12,44,10.73,Weekday,3792.088470096167
Commercial,7733.150338366324,15,34,21.32,Weekday,2639.914701401989
Industrial,27480.974788201664,69,29,11.85,Weekday,4088.491765600657
Residential,20056.091585917846,14,23,26.61,Weekend,3761.291744618907
Commercial,5179.558769247857,60,27,34.94,Weekday,3880.988502108889
Commercial,33825.21305091733,49,49,22.92,Weekday,4463.966782123873
Commercial,3362.2811337095704,4,20,22.82,Weekday,2513.4074039003235
Industrial,19016.195522578666,58,32,28.94,Weekday,4375.386307168599
Industrial,14802.196569582387,74,12,12.58,Weekend,4128.741068322636
Industrial,3850.2935404648492,36,6,14.81,Weekend,3212.160959602824
Commercial,15703.375857879064,44,33,23.53,Weekday,4266.943993424417
Industrial,15906.930448500872,8,13,26.21,Weekday,3428.008915721603
Commercial,32694.10406467343,71,40,30.41,Weekend,5773.886651760163
Commercial,27482.31007835285,67,23,30.46,Weekday,5700.687045127451
Residential,46459.34905843596,7,12,18.49,Weekday,4171.485878295854
Residential,35460.90914876439,94,34,27.86,Weekday,4396.649730201465
Residential,22288.542390553823,38,24,19.24,Weekday,2999.60838140492
Commercial,19563.14718195799,52,1,27.67,Weekend,3435.2010455282
Commercial,35314.220766628,39,41,33.57,Weekend,5165.150985531838
Industrial,13489.284590937095,59,13,21.37,Weekend,3953.451789076235
Residential,33229.81710715568,32,43,27.22,Weekday,4337.220686487222
Residential,20181.46948289828,36,13,19.89,Weekend,2491.776733433518
Commercial,34901.84868904187,84,26,16.19,Weekend,5281.710926236948
Residential,10874.484362737463,26,19,33.73,Weekday,1989.4981999744057
Residential,36479.581396296424,39,17,34.43,Weekend,3442.8760164214114
Industrial,27800.69661202916,9,22,21.98,Weekday,4158.915897457081
Commercial,51250.46491346962,1,27,20.26,Weekday,4910.7292411086155
Industrial,16491.447936454668,73,40,15.37,Weekend,5652.275763746678
Industrial,21119.16090190963,99,29,12.46,Weekend,4095.643953893788
Industrial,16519.793597963628,19,27,12.28,Weekend,3092.596701426173
Industrial,30229.39612618974,57,21,31.59,Weekend,4552.24981903734
Industrial,27187.07279211143,98,17,11.14,Weekday,5073.4992559445855
Commercial,37932.82146394127,52,4,26.35,Weekend,4264.938452046264
Industrial,6561.236427045333,11,26,18.42,Weekend,3916.876336760559
Commercial,43343.501170827265,53,11,31.31,Weekend,5660.355968800508
Residential,17164.029717996138,16,23,34.38,Weekday,2379.913877742897
Residential,36733.91234051085,62,39,15.16,Weekend,4648.546567329826
Residential,10771.211509681696,6,9,30.23,Weekday,1669.1763798660345
Commercial,46959.86809707623,28,38,23.08,Weekday,5449.107523823582
Residential,34654.78979053809,32,34,11.75,Weekday,4672.209999220467
Residential,58861.53253187403,29,15,20.88,Weekday,4785.8360340513855
Commercial,22654.999316235095,7,34,14.73,Weekend,3735.2714594698436
Commercial,14987.747919467634,48,17,23.29,Weekday,3149.971876010847
Residential,55386.223294932584,15,28,11.5,Weekday,3914.8925336143075
Industrial,0.0,84,14,31.84,Weekday,2637.407919964796
Industrial,22010.26052418827,7,17,19.39,Weekday,3326.9113324549367
Commercial,16053.920668802248,62,21,16.37,Weekend,3432.6174809379477
Commercial,53430.53332924711,4,21,11.07,Weekday,4480.966092927571
Commercial,43671.31137926434,60,18,21.25,Weekend,4518.528422094865
Industrial,26751.04958721435,85,31,23.93,Weekend,5023.785314623441
Industrial,44796.70892551699,51,22,34.91,Weekend,5350.405499426812
Residential,21493.711553853118,56,49,12.86,Weekend,2729.4020025379878
Residential,13711.037944848127,83,20,29.5,Weekend,4010.8567571884764
Residential,20968.412123355978,25,36,19.48,Weekday,2422.8055038900166
Industrial,15895.687480749606,92,6,18.96,Weekday,4510.947332341891
Industrial,3417.116800995939,97,45,34.58,Weekday,3763.5485606336815
Industrial,47601.03948231585,92,7,32.82,Weekend,6190.031879279258
Commercial,35356.75245472861,17,42,28.54,Weekday,4783.138845341943
Industrial,19757.318012330958,50,6,33.53,Weekend,3628.0741174568734
Industrial,45518.36879163356,68,38,18.13,Weekday,6047.8571407574145
Residential,52142.040513653956,14,20,27.93,Weekday,4981.480260632117
Residential,6179.322474867215,36,49,16.09,Weekend,2841.9835041632364
Industrial,13375.669592409438,71,47,19.75,Weekday,4558.953571790887
Residential,29921.713852965622,93,17,13.31,Weekday,4829.978362151531
Commercial,3863.4453078785464,96,28,30.73,Weekend,2667.3831972551484
Commercial,1386.0181930350718,61,47,26.75,Weekend,3950.83521680763
Residential,16769.48631281877,65,5,28.73,Weekday,2923.630778430265
Residential,37772.77700930622,52,19,31.72,Weekend,4117.635445720002
Commercial,6096.92124488147,52,28,19.62,Weekday,2690.3019640219254
Industrial,37074.0825977962,7,41,10.05,Weekday,4855.119804641361
Industrial,28524.61487913689,1,21,19.77,Weekday,4256.254038899292
Residential,34338.9758040813,13,9,12.69,Weekend,3064.6880753480364
Industrial,48567.27155686729,8,22,34.4,Weekend,5184.8671724087435
Commercial,56697.563946766466,26,1,29.63,Weekday,4409.73186193249
Residential,8937.494308453912,75,36,33.11,Weekend,3289.626622359784
Commercial,37899.57273968262,33,20,16.2,Weekday,4136.6451323991505
Industrial,49708.74349167273,19,39,11.26,Weekend,6269.520885444489
Commercial,37051.7745053106,46,31,27.09,Weekend,4716.116071998901
Industrial,22642.24786222416,56,8,21.32,Weekday,4720.0733662527155
Residential,3621.979201324667,33,17,17.03,Weekday,2960.886754729429
Residential,38292.42279744498,65,23,10.2,Weekday,5199.830538886863
Residential,19160.29236868734,2,9,32.68,Weekday,2703.097540253283
Commercial,11210.60016656572,73,13,17.02,Weekend,2258.0236885841214
Commercial,3342.289542860347,54,40,10.49,Weekday,4501.872537400992
Residential,24117.283578807685,2,49,24.59,Weekend,3914.3513304546045
Residential,40724.57491424495,39,11,33.49,Weekday,5219.7133274086555
Industrial,4629.655902510434,91,8,26.94,Weekday,4855.743841627365
Industrial,31192.25120914024,45,25,33.47,Weekday,5321.269528502925
Industrial,18083.842113971736,69,40,19.94,Weekday,5027.2970228746835
Residential,12324.585524723581,40,44,21.16,Weekend,3706.6388420155117
Commercial,34898.15130826252,64,29,15.46,Weekend,5306.083782728095
Industrial,29945.14957968823,98,6,29.74,Weekday,5303.411014925496
Commercial,29819.287722998837,86,10,22.42,Weekday,4288.81751178442
Residential,4752.530008229043,86,14,20.59,Weekend,2668.079226341076
Commercial,27750.687190450328,93,9,19.04,Weekend,4677.863595051586
Commercial,20231.891276875547,21,28,25.14,Weekday,4008.2621023872334
Residential,26109.366383643344,37,11,23.25,Weekend,2781.365344090813
Industrial,43182.81974503444,83,45,11.05,Weekend,5845.566474367703
Industrial,9805.805500134382,26,48,32.4,Weekday,4377.528439309795
Residential,29522.109186551435,40,13,29.55,Weekend,3969.483246129874
Residential,4615.210717121662,76,9,23.05,Weekend,3584.7382894842467
Residential,35652.087640838276,48,26,33.54,Weekday,4475.360037783665
Commercial,0.0,92,41,13.26,Weekend,4241.2498158054605
Residential,14372.624260609271,44,39,34.91,Weekend,2872.628196389246
Residential,41036.94754795901,3,15,10.22,Weekend,2583.2512572781366
Residential,33043.154175257325,31,15,11.19,Weekend,3296.5015080910985
Commercial,6831.947619129018,49,26,16.35,Weekday,3710.0313072009117
Commercial,42963.24746863435,6,26,17.8,Weekday,3996.3124891391944
Industrial,35573.89947971474,21,16,23.73,Weekday,4256.211344586087
Residential,48258.87089035657,85,22,19.9,Weekday,5332.792272970339
Industrial,44955.78774633868,92,43,16.56,Weekday,6427.768598720263
Residential,44859.322477046924,2,15,27.49,Weekend,3986.1321936943164
Industrial,16965.28101854948,23,49,21.63,Weekend,4250.808413797549
Residential,40242.43286670431,39,39,13.3,Weekday,4707.345762220008
Industrial,42434.81307500045,60,27,17.31,Weekday,5187.34796805459
Residential,35936.5548814438,32,32,28.7,Weekend,5106.468174078629
Industrial,30471.92062242364,92,3,13.61,Weekend,4697.225885251663
Commercial,33138.63227719765,92,8,27.03,Weekday,4856.043649023038
Industrial,28905.267886155136,21,17,15.18,Weekday,4756.174271958389
Commercial,38247.02544352654,8,49,20.38,Weekday,5081.527823495551
Commercial,25967.746117841438,95,9,17.83,Weekday,4756.815506732315
Residential,33068.86302102011,63,12,22.54,Weekend,3814.0127248890917
Residential,0.0,4,43,23.99,Weekday,2504.1269374189064
Industrial,14058.203574013165,2,47,11.93,Weekend,4029.111762847699
Commercial,23775.48345832316,93,38,33.96,Weekday,4144.8843066297695
Commercial,8232.568095979692,21,25,22.54,Weekday,2992.6105286684983
Industrial,42586.33668622747,9,15,34.61,Weekday,4857.1857371852675
Commercial,2101.4147490610667,31,15,33.79,Weekday,3093.6157031348052
Industrial,1712.947437636802,80,7,29.86,Weekend,3425.668350784267
Commercial,37244.896178551004,10,19,21.96,Weekday,3868.456944868892
Industrial,30807.841470756255,70,48,17.14,Weekend,5213.952807369654
Commercial,46152.28748878883,87,20,32.78,Weekday,5094.88600911928
Industrial,29340.048712120028,86,33,18.76,Weekend,5147.3230168593
Industrial,51570.60165710349,68,11,29.85,Weekend,5778.829449468438
Residential,12658.820428500276,54,48,14.77,Weekday,3568.5452338613377
Commercial,28787.321764278215,30,11,18.62,Weekend,4369.486635144486
Commercial,34297.759608743974,25,22,19.14,Weekday,4118.749530629033
Residential,10942.396946658342,80,49,22.83,Weekday,4190.914991721957
